epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,604.781,0.99608,5.78166,0.4252,0.58689,1.14883,0.77118,0.74656,0.81549,0.42772,0.25344,0.15823,0.09808,0.01976,1.71815,6.96649,0.70925,1.28528,2.52785,0.007492,0.007492,0.007492
40,619.887,0.98516,5.65208,0.42509,0.58028,1.14581,0.8228,0.7347,0.80177,0.38964,0.24417,0.17722,0.07424,0.01365,1.90776,7.11016,0.77266,1.08157,2.65862,0.007426,0.007426,0.007426
41,634.934,1.01113,5.74395,0.40632,0.6004,1.16344,0.77281,0.7966,0.82007,0.45374,0.20986,0.08861,0.04921,0.00716,1.63761,6.89716,0.64664,1.06925,2.3794,0.00736,0.00736,0.00736
42,650.097,0.96266,5.57249,0.40949,0.57309,1.14195,0.84416,0.75316,0.82859,0.38492,0.21716,0.14749,0.06188,0.01095,1.92874,7.19543,0.76673,1.08119,2.74848,0.007294,0.007294,0.007294
43,665.311,0.98192,5.63904,0.41079,0.57426,1.15124,0.78703,0.81864,0.87929,0.46915,0.30523,0.22785,0.14049,0.02541,1.61775,6.42097,0.66862,1.01729,2.35107,0.007228,0.007228,0.007228
44,681.127,0.95978,5.61528,0.40737,0.57703,1.13411,0.7953,0.82911,0.84685,0.4508,0.29362,0.20886,0.14167,0.02407,1.67979,6.62073,0.56406,0.95764,2.37578,0.007162,0.007162,0.007162
45,696.165,0.93431,5.43411,0.40076,0.55699,1.12471,0.86629,0.84177,0.88733,0.44409,0.23888,0.1519,0.09247,0.01505,1.7276,7.1034,0.63347,0.90426,2.57079,0.007096,0.007096,0.007096
46,712,0.97847,5.50627,0.40565,0.57038,1.14616,0.67668,0.82128,0.79477,0.3967,0.27774,0.22785,0.12684,0.01987,1.73937,6.81459,0.72946,1.07092,2.50285,0.00703,0.00703,0.00703
47,727.613,0.93245,5.49749,0.406,0.54548,1.13039,0.80557,0.73424,0.80648,0.40988,0.28899,0.18354,0.10733,0.01791,1.82335,7.06219,0.61951,1.29643,2.48037,0.006964,0.006964,0.006964
48,742.91,0.9389,5.37362,0.40762,0.56229,1.14845,0.7865,0.93038,0.87799,0.48861,0.20261,0.20886,0.09313,0.01368,1.55175,6.58195,0.51893,0.91205,2.28063,0.006898,0.006898,0.006898
49,760.571,0.90391,5.17071,0.39109,0.52766,1.10231,0.8493,0.74904,0.84314,0.43652,0.2754,0.19485,0.123,0.02497,1.73163,6.82131,0.69319,1.02982,2.47061,0.006832,0.006832,0.006832
50,779.723,0.91494,5.15886,0.39189,0.54616,1.10933,0.82373,0.82816,0.85512,0.473,0.31202,0.29114,0.1965,0.03786,1.6484,6.35657,0.55982,0.97751,2.38295,0.006766,0.006766,0.006766
51,795.839,0.97282,5.31195,0.39369,0.57309,1.13535,0.86105,0.79114,0.87875,0.48675,0.34957,0.24051,0.15775,0.02421,1.62775,6.26963,0.60806,0.90972,2.3035,0.0067,0.0067,0.0067
52,812.23,0.92916,5.21631,0.38891,0.55479,1.12847,0.81426,0.89241,0.90309,0.49398,0.30233,0.29747,0.16643,0.02308,1.56018,6.10422,0.55502,0.9274,2.24037,0.006634,0.006634,0.006634
53,828.533,0.92424,5.02289,0.3822,0.53232,1.11105,0.85884,0.89241,0.91505,0.51211,0.2682,0.25949,0.12977,0.02178,1.54337,6.21877,0.55884,0.88402,2.27507,0.006568,0.006568,0.006568
54,843.601,0.89721,4.97913,0.37055,0.5431,1.11048,0.82258,0.82911,0.864,0.46158,0.35288,0.28481,0.19409,0.03654,1.72588,6.30012,0.70546,0.94716,2.45953,0.006502,0.006502,0.006502
55,858.903,0.93564,5.01475,0.38801,0.55788,1.11943,0.82182,0.79747,0.8722,0.46569,0.38599,0.31646,0.23828,0.04506,1.74753,6.35961,0.68189,0.91621,2.5095,0.006436,0.006436,0.006436
56,873.833,0.9509,4.98879,0.38296,0.54963,1.12572,0.78996,0.91772,0.89814,0.47928,0.43079,0.31646,0.22024,0.0423,1.63786,6.16932,0.56568,0.90823,2.33236,0.00637,0.00637,0.00637
57,889.327,0.94989,5.03922,0.39115,0.55898,1.13535,0.78271,0.91195,0.88369,0.51378,0.35269,0.35443,0.23746,0.04744,1.47823,5.96104,0.60632,0.92782,2.14868,0.006304,0.006304,0.006304
58,904.521,0.94864,4.95112,0.38013,0.54831,1.11656,0.75377,0.75564,0.79893,0.41501,0.37608,0.25316,0.16091,0.0302,1.76614,6.81008,0.83457,1.10916,2.55388,0.006238,0.006238,0.006238
59,919.987,0.93251,4.89339,0.37599,0.54559,1.11625,0.8357,0.8481,0.88502,0.49482,0.45929,0.33544,0.2733,0.05356,1.54373,5.93262,0.58104,0.93097,2.36555,0.006172,0.006172,0.006172
60,935.171,0.89728,4.71493,0.35985,0.53263,1.09086,0.83158,0.89873,0.88813,0.52265,0.39569,0.31082,0.21395,0.04999,1.5021,5.97739,0.61008,0.89301,2.26007,0.006106,0.006106,0.006106
61,950.593,0.89238,4.68525,0.37091,0.53041,1.10602,0.83993,0.83544,0.87598,0.48425,0.37195,0.34177,0.22416,0.04947,1.57605,6.032,0.62534,0.96278,2.3316,0.00604,0.00604,0.00604
62,966.204,0.88719,4.78722,0.36685,0.52866,1.09621,0.78997,0.88079,0.87731,0.47721,0.41115,0.38608,0.27906,0.06065,1.58384,5.91268,0.63781,0.94721,2.31682,0.005974,0.005974,0.005974
63,981.234,0.89063,4.65667,0.37315,0.51504,1.09745,0.87694,0.90203,0.92697,0.53622,0.33842,0.3481,0.23071,0.04737,1.4619,5.92109,0.61227,0.83172,2.13972,0.005908,0.005908,0.005908
64,996.14,0.90464,4.75529,0.36227,0.54178,1.10393,0.8234,0.87975,0.90829,0.5168,0.3487,0.3481,0.21318,0.04235,1.48668,5.9735,0.643,0.94061,2.18422,0.005842,0.005842,0.005842
65,1011.26,0.88067,4.57664,0.36701,0.52321,1.10439,0.70471,0.70253,0.768,0.3801,0.48212,0.29114,0.21008,0.03891,1.83282,6.90397,0.97111,1.26348,2.53935,0.005776,0.005776,0.005776
66,1026.36,0.89055,4.58732,0.36316,0.53174,1.11325,0.83932,0.92405,0.91708,0.51421,0.40321,0.40625,0.27755,0.05711,1.519,5.79108,0.57768,0.8155,2.26154,0.00571,0.00571,0.00571
67,1041.64,0.91193,4.72856,0.36475,0.53565,1.1153,0.80178,0.91772,0.88865,0.48238,0.35684,0.30201,0.20568,0.04377,1.60091,6.1114,0.62086,1.00372,2.35847,0.005644,0.005644,0.005644
68,1056.52,0.88914,4.5501,0.35022,0.53219,1.11079,0.77238,0.88053,0.87857,0.48893,0.43771,0.38608,0.29523,0.07103,1.54025,5.64232,0.56099,0.94015,2.28568,0.005578,0.005578,0.005578
69,1072.2,0.89921,4.48502,0.35132,0.52836,1.10672,0.89765,0.91139,0.93,0.52523,0.43668,0.3481,0.28185,0.0582,1.55825,5.72531,0.47805,0.84616,2.32973,0.005512,0.005512,0.005512
70,1087.32,0.85981,4.43189,0.35898,0.5112,1.07773,0.88103,0.84369,0.90106,0.51468,0.49159,0.46203,0.35494,0.07722,1.54541,5.70332,0.63974,0.86055,2.25237,0.005446,0.005446,0.005446
